planning_room_id,mission_count_all,mission_count_ems,mission_count_ems_critical,mission_count_ems_critical_cpr,mission_count_fire,mission_count_technical_rescue
4501150,321,304,229,2,9,8
4501151,273,253,190,2,8,12
4501152,373,343,276,3,18,12
4501153,420,389,279,4,12,19
5100101,443,412,303,6,15,11
5100102,214,204,163,8,7,3
5100103,310,293,216,3,5,12
5100104,479,444,319,3,21,14
5100105,341,321,247,4,12,8
5100206,511,281,199,5,7,7
5100207,113,108,80,0,3,2
5100208,709,669,491,6,15,25
5100209,687,642,501,6,25,20
5100210,378,354,284,5,12,12
5100211,365,345,265,3,11,9
5100312,198,182,134,1,10,6
5100313,576,541,446,9,13,22
5100314,551,347,235,4,34,25
5100315,346,321,244,2,11,14
5100316,1100,1030,667,7,31,39
5100317,378,353,211,5,14,11
5200418,96,93,76,2,2,1
5200419,103,93,61,1,6,3
5200420,320,299,231,2,9,12
5200421,214,195,157,1,12,7
5200422,72,65,45,0,2,5
5200423,455,435,332,2,12,8
5200524,131,123,101,1,3,5
5200525,145,138,113,5,1,6
5200526,294,279,221,1,10,5
5200527,709,652,492,8,24,33
5200528,391,362,293,7,10,19
5200629,971,922,633,8,26,23
5200630,556,527,395,4,14,15
5200631,471,442,353,1,13,16
5200632,268,249,194,0,11,8
5200633,210,198,138,3,8,4
5200634,263,237,172,3,6,18
5300735,146,133,104,1,5,8
5300736,291,253,165,0,20,18
5300737,737,687,539,12,20,30
5300838,25,10,5,0,14,1
5300839,386,357,280,4,15,14
5300840,158,131,82,0,21,6
5300841,272,250,182,0,8,13
5400942,385,263,185,4,10,8
5400943,359,336,265,3,6,17
5400944,122,114,90,0,4,4
5400945,156,150,120,6,2,4
6100101,508,492,350,4,4,12
6100102,569,517,358,5,25,27
6100103,376,345,242,3,23,8
6100204,325,308,236,2,5,12
6100205,444,422,334,6,7,15
6100206,411,394,314,5,10,7
6100207,346,324,251,4,12,10
6100208,285,271,209,2,4,10
6100209,448,415,318,7,14,19
6100210,196,183,135,2,5,8
6200311,302,285,208,2,7,10
6200312,407,387,303,3,9,11
6200313,432,401,288,2,16,15
6200314,316,300,242,0,8,8
6200315,524,414,324,5,4,17
6200316,431,411,321,6,13,7
6200317,255,242,190,3,2,11
6200418,1,1,1,0,0,0
6200419,247,221,179,6,5,21
6200420,402,377,280,4,8,17
6200421,596,486,376,2,13,15
6200422,455,423,308,7,12,20
6200423,490,479,369,9,4,7
6300524,261,245,181,2,4,12
6300525,258,236,192,7,5,17
6300526,294,272,164,2,7,15
6300527,373,349,260,1,11,13
6300528,818,609,489,8,22,22
6300629,303,284,211,2,14,5
6300630,415,250,189,1,9,9
6300631,223,204,153,3,12,7
6300632,549,528,366,8,11,10
6300633,474,455,351,6,8,11
6300634,419,398,306,6,13,8
6400735,647,605,448,7,12,28
6400736,329,311,243,4,3,4
6400737,681,572,414,5,23,32
6400838,436,305,237,5,12,10
6400839,359,340,239,5,9,10
6400840,300,293,229,2,3,4
6400841,335,319,247,4,4,11
6400842,237,218,167,5,8,11
6400843,191,161,113,3,22,8
6400844,380,357,268,3,4,19
7100101,841,781,561,8,37,23
7100102,723,649,456,5,42,32
7100103,500,458,311,2,16,26
7100204,396,358,245,3,20,18
7100205,302,269,202,4,15,18
7100206,464,421,313,6,14,29
7200307,562,527,390,5,15,20
7200308,592,535,395,7,19,38
7200409,527,479,337,2,26,22
7200410,430,399,299,6,17,13
7200411,198,187,125,1,6,5
7200412,180,160,106,2,14,6
7200413,458,416,237,4,24,18
7200414,123,111,73,2,7,5
7300515,241,225,179,7,6,10
7300516,394,360,269,3,23,11
7300517,449,413,303,5,20,16
7300618,359,337,258,3,7,15
7300619,1109,663,480,5,30,49
7400720,1158,826,527,6,23,27
7400721,541,496,322,4,28,16
7400822,256,218,149,3,16,22
7400823,553,515,386,2,13,25
7400824,517,483,357,1,15,19
7400825,336,308,226,0,14,14
7400826,289,273,202,1,12,4
7400927,1111,992,728,9,45,41
7400928,204,185,137,3,6,13
7501029,434,415,301,2,12,7
7501030,656,626,490,8,16,14
7501031,510,490,361,2,10,10
7501032,285,269,209,3,5,11
7501133,788,734,556,5,20,34
7501134,588,563,437,3,10,15
7501135,118,107,86,1,2,9
7601236,534,509,387,4,11,14
7601237,219,212,168,1,3,4
7601238,181,160,102,0,15,6
7601339,369,346,261,3,16,7
7601340,404,393,301,9,4,7
7601341,206,186,139,0,9,11
7601442,557,537,411,15,9,11
7601443,473,452,377,4,8,13
7601544,632,604,456,3,10,18
7601545,556,523,407,6,16,17
7601546,363,347,287,5,5,11
7601547,262,252,193,2,6,4
7601548,103,100,81,1,0,3
8100101,302,271,191,1,18,13
8100102,464,423,288,4,20,21
8100103,369,351,253,5,12,6
8100104,348,309,225,7,29,10
8100105,502,470,343,5,17,14
8100206,842,742,502,7,67,33
8100207,558,510,393,7,20,27
8100208,678,620,442,8,28,29
8100209,639,598,434,10,20,21
8100310,334,299,213,2,12,23
8100311,442,399,278,4,18,25
8100312,613,528,390,5,52,33
8100313,181,170,132,4,6,5
8100314,846,779,533,6,35,32
8100415,336,302,209,0,12,22
8100416,294,264,185,2,15,15
8100417,698,635,442,4,36,27
8100418,564,506,348,3,37,21
8100419,479,435,330,2,21,23
8100520,411,351,260,2,28,32
8100521,800,724,509,4,36,40
8200622,340,311,225,5,9,20
8200623,457,426,296,3,16,15
8200624,627,578,435,5,26,23
8200725,214,199,133,5,8,6
8200726,320,299,225,8,9,12
8200727,517,488,376,3,11,18
8200728,180,169,124,0,7,4
8200729,119,110,83,1,4,5
8200730,265,255,195,6,6,4
8200831,349,336,280,2,7,6
8200832,652,618,497,7,15,19
8200833,424,397,300,11,7,20
8300934,992,943,711,8,27,22
8300935,546,514,407,3,15,16
8301036,605,575,446,8,17,13
8301037,676,624,509,5,29,23
8401138,200,195,155,2,3,2
8401139,740,358,258,4,17,17
8401140,118,114,85,2,1,3
8401241,353,329,250,2,4,20
8401242,373,346,273,4,10,17
8401243,592,552,426,8,16,24
8401244,459,428,311,5,17,14
8401245,226,218,168,5,4,4
8401246,362,347,277,5,6,9
9100101,807,747,506,8,37,22
9100202,244,224,175,1,10,10
9100203,465,441,322,6,12,11
9100304,773,743,554,10,15,15
9100305,269,260,197,0,5,4
9100306,183,167,127,3,7,9
9100407,547,524,409,6,12,11
9100408,426,406,319,5,6,14
9100409,245,227,174,0,12,6
9200510,571,510,379,5,25,36
9200511,643,603,465,8,21,19
9200512,276,248,180,5,15,13
9200613,862,807,564,9,31,24
9200614,293,291,218,6,0,2
9200715,393,333,213,2,26,34
9200716,480,451,344,4,13,16
9200717,460,436,329,5,13,11
9200818,175,162,130,3,5,8
9200819,502,466,334,11,13,23
9300920,521,497,409,5,5,19
9300921,101,93,65,1,2,6
9300922,412,388,301,6,10,14
9300923,379,359,267,3,9,11
9301024,329,187,135,2,10,8
9301025,586,536,418,3,29,21
9301126,551,516,374,9,21,14
9301227,94,87,70,1,2,5
9301228,128,118,82,3,1,9
9401329,595,558,434,7,25,12
9401330,71,70,58,3,0,1
9401431,470,444,357,3,15,11
9401432,66,63,46,0,2,1
9401433,437,280,208,3,7,10
9401534,497,472,344,4,10,15
9401635,276,257,211,2,7,12
9501736,350,333,263,6,7,10
9501737,815,778,602,11,22,15
9501838,554,524,404,7,9,20
9501939,520,475,323,7,16,27
9501940,169,152,107,2,11,6
9501941,193,175,128,0,7,11
9502042,176,170,130,2,3,3
9502043,511,490,380,5,7,14
10100101,360,336,246,4,15,9
10100102,246,232,162,5,6,8
10100103,586,546,427,2,24,15
10100104,367,336,258,6,15,16
10100205,266,243,155,3,14,8
10100206,623,575,430,3,28,20
10100207,467,444,337,4,15,8
10100208,713,676,542,11,18,19
10100209,538,514,379,6,14,10
10100210,817,780,588,5,18,19
10100311,429,357,228,3,37,34
10100312,1009,924,721,13,49,36
10100313,317,286,206,2,14,16
10100314,342,324,252,6,9,9
10100315,390,366,292,4,12,12
10100316,258,243,190,2,11,4
10200417,475,443,319,2,12,20
10200418,327,299,224,2,16,12
10200419,178,172,138,2,0,6
10200420,517,490,361,2,14,12
10200421,323,296,196,1,17,10
10200422,392,362,288,4,17,13
10200423,320,293,225,2,14,13
10200524,568,539,387,2,11,18
10200525,296,281,208,3,11,4
10200526,333,289,214,2,26,18
10200627,154,144,106,1,6,4
10200628,344,329,244,3,9,6
10200629,695,651,496,9,25,19
10200630,415,378,301,6,21,16
10300731,367,342,266,1,11,14
10300732,614,451,371,8,19,14
10300733,384,366,246,4,7,11
10300734,519,482,390,8,18,18
10400835,310,301,245,6,3,6
10400836,448,328,233,2,6,15
10400837,332,315,243,2,6,11
10400938,400,387,285,4,5,8
10400939,292,268,196,4,6,18
10400940,238,220,180,3,9,9
10400941,323,310,232,3,2,11
11100101,180,164,125,3,5,11
11100102,133,128,84,4,4,1
11100203,443,417,316,5,19,7
11100204,467,430,319,4,22,15
11100205,359,341,266,5,10,8
11100206,431,403,314,6,15,13
11100307,778,731,554,5,24,23
11100308,565,527,385,7,25,12
11100309,424,401,298,0,15,8
11200410,510,475,353,7,20,15
11200411,589,522,376,3,42,24
11200512,358,332,236,3,22,4
11200513,490,460,347,4,15,15
11200514,903,840,664,14,33,30
11200515,208,196,153,1,11,1
11300616,382,360,274,6,16,6
11300617,395,359,252,2,26,10
11300618,257,238,187,3,12,7
11300619,459,430,319,7,14,15
11300620,637,606,459,7,20,11
11300721,806,552,400,4,71,24
