planning_room_id,mission_count_all,mission_count_ems,mission_count_ems_critical,mission_count_ems_critical_cpr,mission_count_fire,mission_count_technical_rescue
9301227,182,175,132,2,3,4
9301228,316,286,229,4,8,22
9401329,1364,1296,1083,21,24,44
9401330,181,172,141,2,3,6
9401431,955,930,788,10,11,14
9401432,197,186,152,2,6,5
9401433,966,617,503,12,21,11
9401534,1125,1063,829,15,35,26
9401635,579,528,444,11,11,39
9501736,731,689,558,9,9,33
9501737,1934,1818,1497,21,39,76
9501838,1074,995,819,11,23,55
9501939,1028,950,781,10,38,39
9501940,341,314,261,0,11,16
9501941,386,359,275,5,15,12
9502042,422,399,336,4,6,17
9502043,1225,1164,934,16,21,40
10100101,697,651,540,6,22,23
10100102,531,496,384,6,15,20
10100103,1210,1136,942,10,47,27
10100104,834,766,604,6,43,25
10100205,570,519,382,5,31,20
10100206,1384,1283,1045,10,60,41
10100207,931,865,719,9,39,27
10100208,1612,1491,1226,14,56,65
10100209,1108,1049,867,9,25,33
10100210,1562,1470,1203,19,49,43
10100311,903,783,611,5,56,64
10100312,2152,2002,1658,21,72,78
10100313,584,546,456,7,15,23
10100314,688,656,550,14,13,19
10100315,800,753,612,6,19,28
10100316,594,560,464,4,17,16
10200417,925,859,671,6,28,38
10200418,763,717,594,8,29,16
10200419,404,371,309,4,12,21
10200420,978,917,735,9,31,30
10200421,602,537,427,5,40,25
10200422,888,841,721,11,24,23
10200423,672,625,492,6,17,30
10200524,1304,1236,1024,15,32,36
10200525,586,557,452,3,18,11
10200526,691,627,509,8,41,23
10200627,362,340,277,3,15,7
10200628,700,654,543,6,26,18
10200629,1269,1208,990,23,29,32
10200630,840,790,663,11,22,28
10300731,859,826,680,5,7,26
10300732,1357,919,777,21,38,32
10300733,814,759,629,13,21,34
10300734,1023,976,818,11,14,33
10400835,582,539,440,7,15,28
10400836,910,635,521,8,36,32
10400837,752,698,603,10,17,37
10400938,842,799,678,8,20,23
10400939,536,498,405,5,16,22
10400940,502,467,387,8,8,27
10400941,618,577,490,13,10,31
11100101,407,361,299,9,16,30
11100102,359,345,263,2,9,5
11100203,967,912,760,7,34,21
11100204,934,862,689,11,27,45
11100205,747,706,570,10,16,25
11100206,955,895,745,10,37,23
11100307,1649,1551,1257,17,46,51
11100308,1234,1137,924,12,39,58
11100309,820,779,598,7,16,25
11200410,1195,1120,902,12,31,44
11200411,1158,1052,848,10,61,45
11200512,743,699,564,6,27,17
11200513,955,896,732,13,26,33
11200514,2038,1878,1541,26,66,94
11200515,428,403,335,4,14,10
11300616,887,820,675,10,31,36
11300617,931,891,706,7,24,14
11300618,601,568,473,9,20,13
11300619,926,872,702,11,24,30
11300620,1395,1318,1082,12,38,38
11300721,1736,1225,954,13,137,57
11300722,1817,1710,1362,17,63,44
11300723,285,233,174,3,49,3
11300724,543,513,406,7,12,18
11300725,1400,959,774,16,49,28
11300826,1610,1497,1182,10,67,46
11400927,313,268,207,2,28,17
11400928,271,245,191,1,9,17
11400929,1414,1311,1012,15,43,60
11400930,441,417,329,3,14,10
11400931,833,780,650,12,29,24
11401032,953,892,708,5,25,36
11401033,726,679,578,8,18,29
11401034,590,554,448,4,15,21
11401135,1503,1398,1147,17,42,62
11401136,1099,1062,889,13,22,15
11401137,1212,1128,919,12,41,43
11501238,607,530,407,5,27,50
11501339,841,776,639,8,31,33
11501340,1078,1018,873,5,26,34
11501341,788,725,577,4,33,30
12100101,1400,1290,1045,18,45,65
12100102,1365,1303,1099,20,31,31
12100103,1158,1094,918,11,32,32
12100204,1490,1357,1125,21,67,66
12100205,2429,2249,1869,27,92,87
12100206,509,488,400,5,7,14
12200307,483,459,365,2,10,14
12200308,753,715,611,8,15,23
12200309,1748,1631,1310,15,71,46
12200310,1032,972,802,8,28,32
12200411,81,70,60,0,2,9
12200412,852,758,607,13,51,43
12200413,907,853,695,12,21,33
12200414,1182,1136,901,10,22,24
12200515,2540,2356,1913,29,82,84
12400616,649,613,514,4,10,26
12400617,604,566,460,16,13,25
12400618,469,437,366,6,14,18
12400619,784,742,611,9,11,31
12400720,816,765,638,19,12,38
12400721,845,798,670,13,11,36
12400722,1080,766,629,12,12,37
12400723,761,708,583,8,19,34
12500824,1251,1171,962,12,35,45
12500825,908,817,654,11,59,32
12500926,1170,1111,913,13,41,18
12500927,1480,1039,826,11,40,29
12500928,586,534,456,6,19,33
12500929,433,394,326,8,15,24
12500930,1875,1795,1414,22,33,46
12601031,418,384,324,12,22,12
12601032,845,793,647,10,22,30
12601133,1572,1468,1268,12,57,47
12601134,2658,2488,2097,24,72,53
12601235,1193,1131,940,8,28,34
12601236,377,358,309,6,4,15
